127.0.0.1 - - [27/Oct/2017:19:47:09 -0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:47:48 -0200] "GET /Web/sistema/home.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:47:50 -0200] "GET /Web/index.xhtml HTTP/1.1" 200 3948
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:47:51 -0200] "GET /Web/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:47:51 -0200] "GET /Web/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:47:51 -0200] "GET /Web/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:47:51 -0200] "GET /Web/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:47:51 -0200] "GET /Web/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:47:51 -0200] "GET /Web/resources/imagens/locked.png?pfdrid_c=true HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:47:51 -0200] "GET /Web/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:47:51 -0200] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:48:12 -0200] "POST /Web/index.xhtml HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:48:12 -0200] "GET /Web/sistema/home.xhtml HTTP/1.1" 200 4639
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:48:12 -0200] "GET /Web/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:48:12 -0200] "GET /Web/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:48:12 -0200] "GET /Web/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:48:12 -0200] "GET /Web/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:48:12 -0200] "GET /Web/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:48:12 -0200] "GET /Web/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:48:12 -0200] "GET /Web/javax.faces.resource/images/ui-icons_616161_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:48:16 -0200] "GET /Web/sistema/cadastrarEstado.xhtml HTTP/1.1" 200 8491
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:48:16 -0200] "GET /Web/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:48:16 -0200] "GET /Web/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:48:16 -0200] "GET /Web/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:48:16 -0200] "GET /Web/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:48:16 -0200] "GET /Web/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:48:16 -0200] "GET /Web/javax.faces.resource/spacer/dot_clear.gif.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:48:16 -0200] "GET /Web/javax.faces.resource/images/ui-icons_616161_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:48:16 -0200] "GET /Web/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:49:02 -0200] "POST /Web/sistema/cadastrarEstado.xhtml HTTP/1.1" 200 3403
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:49:02 -0200] "GET /Web/javax.faces.resource/messages/messages.png.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:49:07 -0200] "GET /Web/sistema/cadastrarCidade.xhtml HTTP/1.1" 500 4615
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:52:37 -0200] "GET /Web/sistema/cadastrarCidade.xhtml HTTP/1.1" 200 10746
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:52:37 -0200] "GET /Web/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:52:37 -0200] "GET /Web/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:52:37 -0200] "GET /Web/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:52:37 -0200] "GET /Web/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:52:37 -0200] "GET /Web/javax.faces.resource/spacer/dot_clear.gif.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
